Data;Godzina;Minuty;Wolumen
2002-02-03;12;0;13493.20
2002-02-03;14;0;13204.60
2002-02-03;16;0;12875.50
2002-02-03;18;0;15532.70
2002-02-03;20;0;16026.20
2002-02-03;22;0;14866.20
2002-02-03;24;0;13781.00
2002-02-04;2;0;13676.10
2002-02-04;4;0;13835.00
2002-02-04;6;0;15004.40
2002-02-04;8;0;17197.30
2002-02-04;10;0;17597.90
2002-02-04;12;0;17610.90
2002-02-04;14;0;17127.80
2002-02-04;16;0;16687.90
2002-02-04;18;0;19130.70
2002-02-04;20;0;18768.80
2002-02-04;22;0;16833.10
2002-02-04;24;0;15315.90
2002-02-05;2;0;15117.80
2002-02-05;4;0;15133.30
2002-02-05;6;0;16280.60
2002-02-05;8;0;17662.40
2002-02-05;10;0;17995.70
2002-02-05;12;0;18008.70
2002-02-05;14;0;17469.40
2002-02-05;16;0;17026.80
2002-02-05;18;0;19240.00
2002-02-05;20;0;18959.20
2002-02-05;22;0;16970.10
2002-02-05;24;0;15543.30
2002-02-06;2;0;15197.30
2002-02-06;4;0;15192.80
2002-02-06;6;0;15726.00
2002-02-06;8;0;17415.20
2002-02-06;10;0;17793.50
2002-02-06;12;0;18011.50
2002-02-06;14;0;17540.30
2002-02-06;16;0;17335.40
2002-02-06;18;0;19245.70
2002-02-06;20;0;18955.90
2002-02-06;22;0;16981.50
2002-02-06;24;0;15499.60
2002-02-07;2;0;15257.60
2002-02-07;4;0;15097.10
2002-02-07;6;0;15560.40
2002-02-07;8;0;17389.40
2002-02-07;10;0;17731.20
2002-02-07;12;0;18049.90
2002-02-07;14;0;17734.70
2002-02-07;16;0;17519.20
2002-02-07;18;0;18922.80
2002-02-07;20;0;18773.50
2002-02-07;22;0;16932.70
2002-02-07;24;0;15867.50
2002-02-08;2;0;14858.40
2002-02-08;4;0;15343.80
2002-02-08;6;0;16117.50
2002-02-08;8;0;17573.30
2002-02-08;10;0;18214.80
2002-02-08;12;0;18646.40
2002-02-08;14;0;18320.40
2002-02-08;16;0;18031.40
2002-02-08;18;0;19470.50
2002-02-08;20;0;18907.10
2002-02-08;22;0;17280.20
2002-02-08;24;0;15512.00
2002-02-09;2;0;14631.90
2002-02-09;4;0;15130.90
2002-02-09;6;0;15005.80
2002-02-09;8;0;15800.50
2002-02-09;10;0;16476.80
2002-02-09;12;0;16782.10
2002-02-09;14;0;16478.50
2002-02-09;16;0;16189.60
2002-02-09;18;0;17941.80
2002-02-09;20;0;17402.90
2002-02-09;22;0;15899.70
2002-02-09;24;0;14226.40
2002-02-10;2;0;13547.10
2002-02-10;4;0;13351.50
2002-02-10;6;0;13526.80
2002-02-10;8;0;13452.20
2002-02-10;10;0;13835.70
2002-02-10;12;0;14145.80
2002-02-10;14;0;13965.00
2002-02-10;16;0;13592.60
2002-02-10;18;0;15875.20
2002-02-10;20;0;16240.40
2002-02-10;22;0;15076.10
2002-02-10;24;0;14066.80
2002-02-11;2;0;13795.20
2002-02-11;4;0;13933.10
2002-02-11;6;0;14939.90
2002-02-11;8;0;17586.80
2002-02-11;10;0;18075.80
2002-02-11;12;0;18530.30
2002-02-11;14;0;18348.10
2002-02-11;16;0;17981.20
2002-02-11;18;0;19525.00
2002-02-11;20;0;19078.40
2002-02-11;22;0;17176.30
2002-02-11;24;0;15569.60
2002-02-12;2;0;15000.90
2002-02-12;4;0;15249.30
2002-02-12;6;0;15911.60
2002-02-12;8;0;17386.90
2002-02-12;10;0;17980.30
